question_id	domain	question_text_english	gold_standard_answer	answer_format_regex	gold_standard_reasoning
LR_MATH_137	Procedural Reasoning	A train travels at 120 km/h. How far does it travel in 20 minutes?	40	\b40\b	Step 1: Convert time to hours. 20 minutes is 1/3 of an hour. Step 2: Calculate distance. Distance = Speed * Time = 120 km/h * (1/3) h = 40 km.
LR_MATH_138	Procedural Reasoning	A shop's weekly profit is £5,200. What is its average daily profit?	742.86	742\\.86	To find the average daily profit, divide the weekly profit by 7. £5200 / 7 = £742.857... which rounds to £742.86.
LR_MATH_139	Procedural Reasoning	If a shirt is discounted by 25% to a sale price of £30, what was its original price?	40	\b40\b|£40	Step 1: The sale price represents 100% - 25% = 75% of the original price. Step 2: If £30 is 75%, then 1% is £30 / 75 = £0.40. Step 3: The original price (100%) is 100 * £0.40 = £40.
LR_MATH_140	Procedural Reasoning	A box of tiles contains 20 tiles. Each tile is a square with a side of 10 cm. What is the total area the tiles can cover in square metres?	0.2	0\\.2	Step 1: Calculate the area of one tile in square cm. 10 cm * 10 cm = 100 sq cm. Step 2: Calculate the total area in square cm. 20 tiles * 100 sq cm/tile = 2000 sq cm. Step 3: Convert square cm to square metres (10,000 sq cm = 1 sq m). 2000 / 10000 = 0.2 square metres.
LR_MATH_141	Procedural Reasoning	A cyclist's average speed is 18 km/h. How many metres do they travel per minute?	300	\b300\b	Step 1: Convert speed to metres per hour. 18 km/h = 18,000 m/h. Step 2: Convert speed to metres per minute. 18,000 m/h / 60 min/h = 300 metres per minute.
LR_MATH_142	Procedural Reasoning	A bag contains 50 balls. 30% are red, 20% are blue, and the rest are green. How many green balls are there?	25	\b25\b	Step 1: Calculate the percentage of green balls. 100% - 30% - 20% = 50%. Step 2: Calculate the number of green balls. 50 balls * 50% = 25 green balls.
LR_MATH_143	Procedural Reasoning	A phone costs £600. You pay a 25% deposit. How much is the remaining balance?	450	\b450\b|£450	Step 1: The remaining balance is 100% - 25% = 75% of the cost. Step 2: Calculate the remaining balance. £600 * 75% = £450.
LR_MATH_144	Procedural Reasoning	If it is 16:00 in London (GMT), what time is it in New York (GMT-5)?	11:00	11:00|11 AM	New York is 5 hours behind London. To find the time, subtract 5 hours from London time. 16:00 - 5 hours = 11:00.
LR_MATH_145	Procedural Reasoning	A book has an ISBN number. What does the acronym ISBN stand for?	International Standard Book Number	International Standard Book Number	ISBN stands for International Standard Book Number. It is a unique numeric commercial book identifier.
LR_MATH_146	Procedural Reasoning	A bill for a meal is £72. Three friends agree to split it equally. How much does each person pay?	24	\b24\b|£24	To split the bill equally, divide the total cost by the number of people. £72 / 3 = £24.
LR_MATH_147	Procedural Reasoning	A car uses 8 litres of petrol per 100 kilometres. How many litres will it use on a 350-kilometre journey?	28	\b28\b	Step 1: Find the multiplier for the distance. 350 km / 100 km = 3.5. Step 2: Multiply the fuel consumption by this multiplier. 8 litres * 3.5 = 28 litres.
LR_MATH_148	Procedural Reasoning	A test starts at 10:30 and lasts for 75 minutes. At what time does it end?	11:45	11:45	75 minutes is 1 hour and 15 minutes. Add this to the start time. 10:30 + 1 hour = 11:30. 11:30 + 15 minutes = 11:45.
LR_MATH_149	Procedural Reasoning	A cube has a volume of 27 cubic cm. What is the length of one side?	3	\b3\b	The volume of a cube is the side length cubed. To find the side length, take the cube root of the volume. The cube root of 27 is 3. So the side is 3 cm.
LR_MATH_150	Procedural Reasoning	In a group of 80 people, 48 have brown hair. What percentage of the group does not have brown hair?	40	40|40%	Step 1: Find the number of people who do not have brown hair. 80 - 48 = 32. Step 2: Calculate the percentage. (32 / 80) * 100 = 40%.
LR_MATH_151	Procedural Reasoning	A company produces 500 widgets per day. How many widgets will it produce in a 5-day work week?	2500	\b2500\b	To find the total production, multiply the daily production by the number of days. 500 widgets/day * 5 days = 2500 widgets.
LR_MATH_152	Procedural Reasoning	If a map scale is 1cm to 5km, how many cm on the map represents a real distance of 35km?	7	\b7\b	To find the map distance, divide the real distance by the scale factor. 35 km / 5 km per cm = 7 cm.
LR_MATH_153	Procedural Reasoning	A library has 12,000 books. 1/5 are fiction. Of the remaining books, 1/4 are history books. How many history books are there?	2400	\b2400\b	Step 1: Calculate the number of fiction books. 12,000 * (1/5) = 2,400. Step 2: Calculate the remaining non-fiction books. 12,000 - 2,400 = 9,600. Step 3: Calculate the number of history books. 9,600 * (1/4) = 2,400.
LR_MATH_154	Procedural Reasoning	A recipe needs 2 cups of flour for every 1 cup of sugar. If you use 3 cups of sugar, how many cups of flour do you need?	6	\b6\b	The ratio of flour to sugar is 2:1. If you use 3 cups of sugar, you need to multiply the flour amount by 3. 2 cups of flour * 3 = 6 cups of flour.
LR_MATH_155	Procedural Reasoning	A worker earns £12 per hour. How much do they earn in an 8-hour day?	96	\b96\b|£96	To find the total earnings, multiply the hourly rate by the number of hours worked. £12/hour * 8 hours = £96.
LR_MATH_156	Procedural Reasoning	A water tank is 50% full. If 200 litres are added, it becomes 75% full. What is the total capacity of the tank?	800	\b800\b	Step 1: The 200 litres added represents a 75% - 50% = 25% increase in fullness. Step 2: If 25% (or 1/4) of the tank is 200 litres, the total capacity is 4 * 200 = 800 litres.
LR_MATH_157	Procedural Reasoning	A shirt costs £25. The shop adds a 20% VAT. What is the final price for the customer?	30	\b30\b|£30	Step 1: Calculate the VAT amount. £25 * 20% = £5. Step 2: Add the VAT to the original price. £25 + £5 = £30.
LR_MATH_158	Procedural Reasoning	If you walk 1.5 km in 20 minutes, what is your speed in km/h?	4.5	4\\.5	Step 1: There are three 20-minute periods in an hour. Step 2: To find your speed per hour, multiply the distance walked by 3. 1.5 km * 3 = 4.5 km/h.
LR_MATH_159	Procedural Reasoning	The product of two numbers is 48 and their sum is 14. What are the two numbers?	6 and 8	6 and 8|8 and 6	We need two numbers that multiply to 48 and add to 14. The pairs of factors for 48 are (1,48), (2,24), (3,16), (4,12), and (6,8). The pair that sums to 14 is 6 and 8.
LR_MATH_160	Procedural Reasoning	A train leaves at 22:30 on Monday and arrives at 05:45 on Tuesday. What is the duration of the journey?	7 hours and 15 minutes	7 hours and 15 minutes	Step 1: Calculate the time from 22:30 to midnight. This is 1 hour and 30 minutes. Step 2: Add the time from midnight to 05:45. This is 5 hours and 45 minutes. Step 3: Sum the two durations. 1h 30m + 5h 45m = 6h 75m, which is 7 hours and 15 minutes.
LR_MATH_161	Procedural Reasoning	What is the area of a triangle with a base of 12 cm and a height of 8 cm?	48	\b48\b	The area of a triangle is (1/2) * base * height. (1/2) * 12 cm * 8 cm = 48 square cm.
LR_MATH_162	Procedural Reasoning	A company's shares are worth £1.50 each. If you buy 500 shares, how much do you pay?	750	\b750\b|£750	To find the total cost, multiply the number of shares by the price per share. 500 * £1.50 = £750.
LR_MATH_163	Procedural Reasoning	In a survey of 200 people, 120 said they prefer tea over coffee. What percentage of people prefer tea?	60	60|60%	To find the percentage, divide the number of tea drinkers by the total number of people and multiply by 100. (120 / 200) * 100 = 0.6 * 100 = 60%.
LR_MATH_164	Procedural Reasoning	A car travels 30 miles on one gallon of petrol. How many gallons are needed for a 210-mile trip?	7	\b7\b	To find the gallons needed, divide the total distance by the car's efficiency. 210 miles / 30 miles per gallon = 7 gallons.
LR_MATH_165	Procedural Reasoning	A rectangle has an area of 96 square cm. If its width is 8 cm, what is its length?	12	\b12\b	The area of a rectangle is length times width. To find the length, divide the area by the width. 96 sq cm / 8 cm = 12 cm.
LR_MATH_166	Procedural Reasoning	If 5 miles is approximately 8 kilometres, how many kilometres is 30 miles?	48	\b48\b	Step 1: Find the multiplier. 30 miles / 5 miles = 6. Step 2: Multiply the kilometre equivalent by the multiplier. 8 km * 6 = 48 km.
LR_MATH_167	Procedural Reasoning	A pack of 500 sheets of paper is 5 cm thick. What is the thickness of a single sheet of paper in millimetres?	0.1	0\\.1	Step 1: Calculate the thickness of one sheet in cm. 5 cm / 500 sheets = 0.01 cm. Step 2: Convert cm to mm. 0.01 cm * 10 mm/cm = 0.1 mm.
LR_MATH_168	Procedural Reasoning	A baker can make 4 cakes in an hour. How many hours will it take to make 18 cakes?	4.5	4\\.5	To find the time needed, divide the total number of cakes by the rate of production. 18 cakes / 4 cakes per hour = 4.5 hours.
LR_MATH_169	Procedural Reasoning	A television originally priced at £400 is sold for £320. What was the percentage discount?	20	20|20%	Step 1: Find the discount amount. £400 - £320 = £80. Step 2: Calculate the percentage discount. (£80 / £400) * 100 = 20%.
LR_MATH_170	Procedural Reasoning	What is the smallest number that is divisible by 2, 3, and 5?	30	\b30\b	This is the lowest common multiple (LCM) of 2, 3, and 5. Since they are all prime numbers, their LCM is their product. 2 * 3 * 5 = 30.
LR_MATH_171	Procedural Reasoning	A farmer has 180 sheep. The ratio of male to female sheep is 1:5. How many male sheep are there?	30	\b30\b	Step 1: The total number of parts in the ratio is 1 + 5 = 6. Step 2: Find the value of one part. 180 sheep / 6 parts = 30 sheep per part. Step 3: There is 1 part male sheep, so there are 30 male sheep.
LR_MATH_172	Procedural Reasoning	A phone has 64GB of storage. If 48GB is used, what percentage of storage is free?	25	25|25%	Step 1: Find the amount of free storage. 64GB - 48GB = 16GB. Step 2: Calculate the percentage free. (16GB / 64GB) * 100 = 25%.
LR_MATH_173	Procedural Reasoning	A box of 6 eggs costs £1.50. A box of 12 eggs costs £2.40. How much cheaper per egg is the larger box?	0.05	0\\.05|5p|£0\\.05	Step 1: Price per egg in the small box. £1.50 / 6 = £0.25. Step 2: Price per egg in the large box. £2.40 / 12 = £0.20. Step 3: Find the difference. £0.25 - £0.20 = £0.05, or 5 pence.
LR_MATH_174	Procedural Reasoning	A car is travelling at 90 km/h. How many metres does it travel in one second?	25	\b25\b	Step 1: Convert km/h to m/h. 90 km/h = 90,000 m/h. Step 2: Convert m/h to m/s. 90,000 m/h / 3600 s/h = 25 metres per second.
LR_MATH_175	Procedural Reasoning	What is the perimeter of a regular octagon with a side length of 6 cm?	48	\b48\b	A regular octagon has 8 equal sides. The perimeter is the side length multiplied by the number of sides. 6 cm * 8 = 48 cm.
LR_MATH_176	Procedural Reasoning	A book has 400 pages. On Monday you read 10% of the book. On Tuesday you read 25% of the remaining pages. How many pages have you read in total?	130	\b130\b	Step 1: Pages read on Monday. 400 * 10% = 40 pages. Step 2: Remaining pages. 400 - 40 = 360 pages. Step 3: Pages read on Tuesday. 360 * 25% = 90 pages. Step 4: Total pages read. 40 + 90 = 130 pages.
LR_MATH_177	Procedural Reasoning	A restaurant bill is £50. You add a 12.5% service charge. What is the total bill?	56.25	56\\.25|£56\\.25	Step 1: Calculate the service charge amount. £50 * 12.5% = £6.25. Step 2: Add the service charge to the bill. £50 + £6.25 = £56.25.
LR_MATH_178	Procedural Reasoning	A recipe needs 400g of flour to serve 4 people. You are cooking for 5 people. How much flour do you need?	500	\b500\b	Step 1: Find the flour needed per person. 400g / 4 people = 100g per person. Step 2: Calculate the flour for 5 people. 5 people * 100g/person = 500g.
LR_MATH_179	Procedural Reasoning	If you invest £1000 for 2 years with a compound interest rate of 5% per year, what is the total amount at the end of the 2 years?	1102.50	1102\\.50|£1102\\.50	Step 1: After year 1, the amount is £1000 * 1.05 = £1050. Step 2: After year 2, the amount is £1050 * 1.05 = £1102.50.
LR_MATH_180	Procedural Reasoning	A car's fuel efficiency is 50 miles per gallon. How many gallons would be needed for a 450-mile trip?	9	\b9\b	To find the fuel needed, divide the distance by the fuel efficiency. 450 miles / 50 miles per gallon = 9 gallons.
LR_MATH_181	Procedural Reasoning	The angles in a triangle are in the ratio 1:2:3. What is the size of the largest angle?	90	\b90\b	Step 1: The sum of angles in a triangle is 180 degrees. The total parts in the ratio is 1+2+3=6. Step 2: The value of one part is 180 / 6 = 30 degrees. Step 3: The largest angle is 3 parts, so 3 * 30 = 90 degrees.
LR_MATH_182	Procedural Reasoning	A shop buys a coat for £50 and sells it for £80. What is the percentage profit mark-up?	60	60|60%	Step 1: Calculate the profit amount. £80 - £50 = £30. Step 2: Calculate the percentage mark-up based on the cost price. (£30 / £50) * 100 = 60%.
LR_MATH_183	Procedural Reasoning	A playlist contains 120 songs. The average song length is 3 minutes. How long is the entire playlist in hours?	6	\b6\b	Step 1: Calculate the total length in minutes. 120 songs * 3 minutes/song = 360 minutes. Step 2: Convert minutes to hours. 360 minutes / 60 minutes/hour = 6 hours.
LR_MATH_184	Procedural Reasoning	If 8 out of 40 students in a class wear glasses, what percentage of students do not wear glasses?	80	80|80%	Step 1: Find the number of students who do not wear glasses. 40 - 8 = 32. Step 2: Calculate the percentage. (32 / 40) * 100 = 80%.
LR_MATH_185	Procedural Reasoning	A window is 1.2 metres wide and 1.5 metres high. What is its area in square metres?	1.8	1\\.8	The area is width multiplied by height. 1.2 metres * 1.5 metres = 1.8 square metres.
LR_MATH_186	Procedural Reasoning	What is the lowest common multiple of 8 and 12?	24	\b24\b	Multiples of 8 are 8, 16, 24, 32... Multiples of 12 are 12, 24, 36... The lowest number that appears in both lists is 24.
LR_MATH_187	Procedural Reasoning	A train has 512 passengers. At the first stop, half of the passengers get off. At the second stop, half of the remaining passengers get off. How many passengers are left?	128	\b128\b	Step 1: After the first stop, 512 / 2 = 256 passengers remain. Step 2: After the second stop, 256 / 2 = 128 passengers are left.
LR_MATH_188	Procedural Reasoning	A runner aims to run 30 miles in a week. By Wednesday, she has run 12 miles. What percentage of her weekly goal has she completed?	40	40|40%	To find the percentage completed, divide the miles run by the total goal and multiply by 100. (12 / 30) * 100 = 0.4 * 100 = 40%.
LR_MATH_189	Procedural Reasoning	A bag costs £90. In a sale, it is reduced by 1/3. What is the sale price?	60	\b60\b|£60	Step 1: Calculate the discount amount. £90 * (1/3) = £30. Step 2: Subtract the discount from the original price. £90 - £30 = £60.
LR_MATH_190	Procedural Reasoning	A cyclist travels 45 km in 3 hours. What is their average speed in km/h?	15	\b15\b	Average speed is total distance divided by total time. 45 km / 3 hours = 15 km/h.
LR_MATH_191	Procedural Reasoning	A box contains blue and red pens. There are 36 pens in total. If 25% are blue, how many are red?	27	\b27\b	Step 1: Calculate the number of blue pens. 36 * 25% = 9 blue pens. Step 2: Calculate the number of red pens. 36 - 9 = 27 red pens.
LR_MATH_192	Procedural Reasoning	A room requires 24 square metres of carpet. If the carpet costs £15 per square metre, what is the total cost?	360	\b360\b|£360	To find the total cost, multiply the area by the cost per square metre. 24 * £15 = £360.
LR_MATH_193	Procedural Reasoning	If an item costs £80 including 20% VAT, what is the price before VAT was added?	66.67	66\\.67	Step 1: The price including VAT represents 120% of the original price. Step 2: To find the original price, divide the final price by 1.20. £80 / 1.20 = £66.67.
LR_MATH_194	Procedural Reasoning	What is the value of 2 to the power of 6?	64	\b64\b	2 to the power of 6 means multiplying 2 by itself 6 times. 2 * 2 * 2 * 2 * 2 * 2 = 64.
LR_MATH_195	Procedural Reasoning	A car is bought for £10,000 and sold 3 years later for £4,000. What was the total depreciation?	6000	\b6000\b|£6,000	Depreciation is the difference between the purchase price and the selling price. £10,000 - £4,000 = £6,000.
LR_MATH_196	Procedural Reasoning	A recipe needs 250g of flour, 150g of sugar, and 100g of butter. What is the ratio of flour to sugar to butter in its simplest form?	5:3:2	5:3:2	The ratio is 250:150:100. To simplify, find the greatest common divisor, which is 50. Divide each part of the ratio by 50. 250/50 : 150/50 : 100/50 = 5:3:2.
LR_MATH_197	Procedural Reasoning	A phone battery lasts for 10 hours of use. If you have used it for 4.5 hours, what percentage of the battery is remaining?	55	55|55%	Step 1: Find the remaining time. 10 hours - 4.5 hours = 5.5 hours. Step 2: Calculate the remaining percentage. (5.5 / 10) * 100 = 55%.
LR_MATH_198	Procedural Reasoning	The sum of two consecutive numbers is 31. What are the numbers?	15 and 16	15 and 16|16 and 15	Let the numbers be x and x+1. The equation is x + (x+1) = 31. 2x + 1 = 31. 2x = 30. x = 15. The numbers are 15 and 16.
LR_MATH_199	Procedural Reasoning	A journey of 150 miles takes 2.5 hours. What was the average speed in mph?	60	\b60\b	Average speed is distance divided by time. 150 miles / 2.5 hours = 60 mph.
LR_MATH_200	Procedural Reasoning	A company has 80 employees. 12 of them are left-handed. What percentage of employees are right-handed?	85	85|85%	Step 1: Find the number of right-handed employees. 80 - 12 = 68. Step 2: Calculate the percentage. (68 / 80) * 100 = 0.85 * 100 = 85%.
